"Details","Name","Stage","Country (ISO)","Contract Signed","Original currency (ISO)","Total finance (original currency)","USD Estimate","Investment Details - Internal Rate of Return - Latest - (Value)","Purpose and classifications - Social challenge - (Value)","Intervention model","Policy sector","Purpose and classifications - Primary SDG goal - (Value)","Purpose and classifications - Secondary SDG goals - (Value)","Purpose and classifications - Primary SDG target - (Value)","Purpose and classifications - Secondary SDG targets - (Value)","Purpose and classifications - (Source ID's)","Purpose and classifications - (Notes)","Beneficiaries - target population","Beneficiaries type","Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value)","Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value)","Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value)","Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value)","Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value)","Service and beneficiaries - (Source ID's)","Service and beneficiaries - (Notes)"
"View","Article 1 CIS","Implementation","FR","2019-03","","","","","","The intervention has two goals. First, it aims to help high school students in becoming more academically persevering and ambitious, as well as restore their confidence in their ability to pursue studies that align with their personal interests and goals, through a series of workshops and a digital career guidance platform. Second, it aims at helping university students in their first years of study to stay in school through individualized mentorship programs carried out by professionals, as well as counselling sessions.","Education","","","","","source1","","High school students on agricultural vocational track, living in rural regions and benefitting from needs-based grants or scholarships.","1,130","","","","","","source2",""
"View","Asháninka Impact Bond (Peru Sustainable Cocoa And Coffee Production DIB)","Complete","PE","2015-01","USD","110,000","110000","","","Technical assistance provided by the Rainforest Foundation UK and its partner organizations in Peru to improve collection and postharvest techniques for cocoa, improve marketing and support commercial agreements, control leaf rust disease and restore growing plots, build nurseries for planting resistant varieties of coffee.","Agriculture and environment","","","","","source1","","The target population included Asháninka families (typically 2 adults and 5 children). Indigenous Asháninka live near the Ene River in the Peruvian Amazon, and the intervention targets, specifically, the Kemito Ene producer’s association. The population was only considered if they paid their membership fees and were active members of Kemito Ene","","","","99","","","",""
"View","Aspire","Complete","GB","2015-01","GBP","310,000","473611.0935","","","On referral participants are allocated a Link Worker, providing a single point of contact and support, and undertaking an initial assessment and action planning exercise (Outcome Star used, and in subsequent assessments). The project follows an ’housing led’ approach, aiming to place clients within 3 months into permanent independent tenancies and offering intensive support to ensure they are sustained (via Link Workers and a recently employed Tenancy Support Officer).","Homelessness","","","","","source10,source2","","Young people aged 18-24 not in employment, education, or training (NEET); homeless as defined in the homelessness legislation but not in priority need under that legislation and deemed a priority for local authority support but unable to be accommodated in a supported housing scheme.","","","","171","Individual","","source2",""
"View","Aspire Social Impact Bond Adelaide","Implementation","AU","2017-03","AUD","9,000,000","6897830.457","","","The Aspire Program works with people experiencing chronic homelessness through long-term case management and assistance to secure sustainable housing, employment and other goals. The model applies the Housing First principle. Housing First is an approach to ending homelessness that centres on quickly moving people experiencing homelessness into independent and permanent housing and then providing additional supports and services as needed.  Under the Aspire service model, participants are provided stable accommodation, job readiness training, pathways to employment and life skills development. Importantly, they also have the long-term support of a dedicated ‘Navigator’ to help them connect with wider support services and identify and achieve their aspirations. The Aspire Program is designed as a three-year program with tiered intensity of support. Each individual’s journey will be unique, and the level of support will be adjusted to reflect their strengths and needs.","Homelessness","","","","","source13,source3","","To be referred to the Aspire Program, individuals must meet the following eligibility criteria: ● Aged 18-55; ● Currently homeless, or about to be released from a partnering prison or discharged from a partnering hospital and identified as being at risk of homelessness; ● Have been homeless for at least three months in the preceding year (unless incarcerated or in hospital); ● Located in metropolitan Adelaide with the intention of staying in the area; ● Not subject to any unresolved criminal charges; and ● Entitled to a Medicare Card. Referrals will be accepted from providers of homelessness services, participating prisons (up to 10% of referrals), participating hospitals (up to 10% of referrals) and Housing SA. Significant demand is expected for the program, and referrals will be capped at the number of program vacancies. Eligible referrals will be accepted on a first come first served basis. ","600","Individual","","","","","source14",""
"View","ATMAH","Implementation","AE","","AED","2,000,000","544588.1552","","","As the first SIB in the Gulf, ATMAH will launch a new vocational pilot training programme, designed to equip People of Determination in Abu Dhabi with employability skills and help them secure permanent employment. The aim is that, through the programme, students will benefit from gaining life skills, vocational training, work placement and a permanent job. Their families will gain a better quality of life as their child becomes increasingly independent and employers in Abu Dhabi will benefit from a more diverse workforce. In addition, it gives teachers the opportunity to improve their skills and confidence with People of Determination, as well as testing a new curriculum. The pilot will be assessed at the end of a 15-month programme to determine its success and the next steps will be decided.","Employment and training","","","","","source1","","25 students of determination with learning disabilities.","25","","","","","","source2",""
"View","Auckland South Corrections Facility (ASCF)","Implementation","NZ","2012","NZ dollar","3,000,000","2092086.682","","","ASCF runs a number of  programmes to tackle specific causes and types of offending. Work and training opportunities are offered for prisoners on site throug partnerships with businesses enhancing their employment skills when they leave prison. Likewise, prisoners are encourgaged to enagage with their family,  whānau and the wider community, hence increasing their social integration. In-cell technology increases the time prisoners can spend learning while in custody, allows them to take more responsibility for themselves, and helps them to stay in touch with family. ‘Through-the-gate’ support is given to prisoners on release through a volunteer mentoring scheme and integration with the Probation service and Parole Board. A Community Liaison Office provide a range of assistance including alcohol and drug relapse prevention support, money management, debt counselling, accommodation services and a work placement programme.","Criminal justice","","","","","source5,source1","","Male Māori (primary target population) and general male prisoners of the ASCF.","960","","","","","","source2",""
"View","Back on Track","Implementation","BE","","EUR","1,700,000","1899683.312","","","The ‘Back on Track’ program is aimed at young people deprived of income and housing.The non-profit organization Oranjehuis will intensively support young people according to the principle of 'Housing First for Youth.'"" This method focuses first of all on housing, then helping young people to recover, build a network and find a job or training. For young people who are coming out of detention, the non-profit organization wants to greatly reduce the risk of recidivism. The program will be spread over three years in the provinces of West and East Flanders. Each young participant will be intensively supported for twelve months.","Homelessness","","","","","source1","","133 young adults aged 17 to 25 in precarious situations. These are young people who are homeless, or who are at risk of becoming homeless, and who find themselves without help because of the current long waiting list for reception solutions.","133","","","","","","source1",""
"View","Be the Change","Complete","GB","2017-05","GBP","177,578","228549.9733","","Homelessness and unemployment","‘Be the Change’ is a radical new intervention designed to help homeless and unemployed young people who are going through particularly difficult times in their lives. It is based on Mayday's Personal Transitions Services (PTS), a highly flexible ""assets-based"" approach that focuses on identifying people's strengths and then providing the personalised support they need to achieve their educational, training and employment aspirations. Unlike many homelessness programmes, it uses normal housing rather than hostels or supported accommodation, in the belief that this helps the young people to live more independently, build new support networks and break the cycle of dependency.","Homelessness","","","","","source3,source1","","Young adults aged 18 - 30 who are NEET, homeless, a priority for Local Authority support but unable to be accommodated in a supported housing scheme (due to previous difficulties in or eviction from supported housing, ongoing substance misuse, significant mental health issues, medium/low learning disability or ‘personality disorders’ but not eligible under the Fair Access to Care Services (FACS) criteria, lack of available specialist supported accommodation to step down from registered care or hospital) and living in Northamptonshire.","360","Individual","","262","Individual","","source6,source7",""
"View","BeCode youth employment (Antwerp)","Implementation","BE","2018-10","","","","","","Through this pilot project, the Flemish Service for Employment and Vocational Training (VDAB) is looking to get youngsters in Antwerp who are difficult to reach – the so-called 'NEETs' (Not in Education, Employment or Training) in particular - into work. BeCode provides low-threshold training courses in day-time education, familiarising young people with digital technologies. For the youngsters who enrol, the training is free of charge. BeCode works both on their technical skills, such as building a website or a mobile application, and their soft skills, such as creativity, problem solving, working in a team and project management.","Employment and training","","","","","source4,source3","","Young people in Antwerp who are not in education, employment or training.","","","","","","","source5",""
"View","Bedayat Social Impact Bond","Implementation","AE","2020-12","AED","2,920,000","795012","","The negative impact of divorce on children's development.","Bedayat is a support program for families who are going through divorce with young children (aged 0-8 years). The program offers at least six weeks of support that includes free weekly counseling sessions with child & family experts and online/in-person workshops and support groups.","Child and family welfare","16","3, 4","16.2 End abuse, exploitation, trafficking and all forms of violence against and torture of children","","source1","","Families in the process of divorce/separation, with children’s age 0-8, residents & citizens of the Emirate of Abu Dhabi, Arabic and English speakers.","36","Other","Families","","","","source1",""
"View","Benevolent Society Social Benefit Bond (New South Wales)","Complete","AU","","AUD","10,000,000","9653971.758","","","The Resilient Families Program is a therapeutic, evidence informed program that seeks to improve outcomes for children by building a protective network around them. Senior child and family practitioners develop a support plan in collaboration with each family to address the risks identified and meet the individual support needs of the family. The support plan goals are achieved through a mix of practical and therapeutic support. This includes training in the use of skills to manage stress and conflict, encouraging positive child behaviour, improving understanding of the child's develomental needs, and building the confidence necessary to tackle problems early before they become entrenched. The Program delivers a flexible twelve week intensive phase with access to 24/7 support if required. This is followed by less intensive support for up to 12 months to address a range of issues such as parental mental health issues, domestic and family violence, substance misuse, and neglect of their children.","Child and family welfare","","","","","source8,source1","","Families are eligible for referral to the service if they have at least one child less than six years old who is living at home and has been assessed by NSW Department of Family and Community Services (FACS) as at Risk of Significant Harm (ROSH) but ‘Safe with Plan’.","354","Other","Families","303","Other","Families","source9, source15","In total, 354 families were referred to the RF service from the commencement of the programme, from October 2013 to the end of June 2018. Of these families, 303 were eligible in the SBB population for outcomes measurement."
"View","Big Picture Learning in Doncaster","Implementation","GB","2018-10","GBP","750,000","982500","","Education and youth disengagement","Big Picture Learning (BPL) is an innovative learning design, working with young people in small advisory groups. It is an alternative provision to Learning Centres and Pupil Referral Units within Doncaster.","Education","","","","","source1","","Doncaster children and young people aged 11-16 who are disengaged from education. They work with those showing early signs of crisis and provide them with a stable and supportive learning environment that works with them as individuals.","220","Individual","","","","","source1",""
"View","Bonds 4 Jobs (South Africa)","Complete","ZA","2018-01","South African Rand","75,000,000","8628109.499","","Youth unemployment in South Africa","The P4P initiative is designed to accelerate the transitions of excluded South African youth into growth sectors of the economy through alternative methods of skilling and training. The implementers all implement skilling programs that are quicker, cheaper and more demand driven than traditional programs. Implementers have to prove that they have secured an income earning opportunity for the candidates prior to receiving working capital. Implementers then train the candidates and place them into jobs within the three pre-specified ""growth sectors"" in the economy namely: Business Process Outsourcing, Digital and Technology and Installation, Repairs & Maintenance.","Employment and training","","","","","source10,source4","","South African citizens aged between 18 and 35 excluded from the economy","6,000","Individual","","2,000","Individual","","source3,source14",""
"View","Bradford Positive and Included","Complete","GB","","GBP","500,000","643519.9554","","This five-year SIB aims to improve outcomes for children with learning disabilities and challenging behaviours by reducing rates of full-time residential care entry.","Aims to improve outcomes for children with learning disabilities and challenging behaviours by reducing rates of full-time residential care entry. The project will use the 'Positive Behavioural Support' (PBS) service. PBS is an evidence based intervention that has been proven to help to prevent children being put in residential care, where they are often isolated from their family and can become vulnerable. Along with analysing and targeting a child's challenging behaviour, PBS highlights the impact of a child's wellbeing on their behaviour, and makes every effort to improve this.","Child and family welfare","","","","","source4,source1","","Children aged 8-13 in Bradford with learning disabilities and challenging behaviours.","13","Individual","","","","","source1",""
"View","Breaking Bars Farm","Implementation","PT","2019-10","EUR","104,859","117508.6215","","Criminal recidivism","1 year integrated training programme for inmates including: 6 months of training on transversal/soft skills + 6 months of agricultural entrepreneurship training","Criminal justice","","","","","source1,source3","","","40","Individual","","","","","",""
"View","Buzinezzclub (Eindhoven)","Implementation","NL","2016-06","EUR","1,700,000","1880457.902","","","Buzinezzclub helps young people discover their passions and work towards starting their own company. After a six month intensive programme, the young people are paired with a volunteer ""coaches"" who provides ongoing mentoring and support with writing business plans and developing skills, and where starting a business is not attainable, young people receive support to find employment or enter education.","Employment and training","","","","","source1","","300-400 unemployed young people between 18 and 30. Young people can self-refer to the programme, or can be referred via social services and the Municipality of Eindhoven.","400","","","","","","source1",""
"View","Buzinezzclub (Rotterdam)","Complete","NL","2013-03","EUR","720,000","955973.2091","","","The Buzinezzclub social impact bond aims at reducing unemployment amongst youth without qualifications / underqualified in Rotterdam who receive unemployment benefits. Buzinezzclub offers the target group guidance and training on starting a business and provides a workspace, network and role-models. This should lead to a faster outflow from unemployment to entrepreneurship. The intervention also promotes the development of a passion for a specific profession. Participants may look for a job or education related to this profession as an alternative to starting their own business.","Employment and training","","","","","source7,source3","","Youth (aged 17 to 27) without qualifications / underqualified in Rotterdam who receive unemployment benefits. To qualify for the intervention, young people must be receiving unemployment benefits for 0 to 24 months.","","","","","","","source8",""
"View","Buzinezzclub (Utrecht)","Implementation","NL","2015-11","EUR","2,100,000","2322918.585","","","The Buzinezzclub helps young people discover their passions and work towards starting their own company. Volunteer ""coaches"" provide support with writing business plans and developing skills, and where starting a business is not attainable, young people receive support to find employment or enter education. Young people can refer themselves to the service, or are referred via social services and the Municipality of Utrecht.","Employment and training","","","","","source2,source1","","Youth (aged 18 to 30) without qualifications / underqualified in Utrecht who receive unemployment benefits.","540","","","","","","source1",""
"View","Cali Progresses with Employment","Implementation","CO","","COP","2,700,000,000","867231.7579","","Unemployment","The SIB aims to employ vulnerable individuals in formal jobs and support them in retaining those jobs (ideally for 6 months but at least for 3 months). The SIB supports a range of employment measures, including soft and hard skill training, psychosocial support, socio-occupational orientation, and intermediation services for job placement and retention. The intervention was originally designed by ACDI VOCA, Fundación ANDI, and Fundación Corona.","Employment and training","","","","","source2,source1","","Individuals not formally employed at the start of the program, aged 18-40,  and who had not participated in employment programs launched by the Municipality of Cali in the last 2 years. Participants also had to meet one of the following requirements: score below 41.74 on the Beneficiary Selection System for Social Programs (SISBEN), belong to Red Unidos or Gestores (government programs for particularly vulnerable communities), or be victims of displacement due to armed conflict.","856","","","","","","source2",""
"View","Cambodia Rural Sanitation Development Impact Bond","Implementation","KH","","","","","","Cambodia has seen significant progress in increasing rural sanitation coverage over the last 15 years, with national coverage rates rising from 20% to 74.6% in 2020. The Royal Government of Cambodia has now set the ambition of eradicating open defecation by 2025 as part of its National Action Plan for Rural Water Supply, Sanitation, and Hygiene II. However, the challenge of realising universal sanitation coverage in Cambodia is getting harder as the focus shifts to the poorest, the most marginalised, and the hardest to reach populations.","This DIB is the first one in the water, sanitation and hygiene sector and aims to end open defecation in 1600 villages across six provinces in Cambodia. Through the DIB, the Stone Foundation will invest in iDE’s market-based sanitation program, which trains and coaches sales agents to sell toilets to households and communities and works with businesses, such as cement companies, to expand into the toilet business. The outcomes focus of the DIB provides flexibility for iDE to evolve its programme in a complex and constantly changing market—especially important as iDE tests new strategies for reaching the poorest and most vulnerable households","Poverty reduction","","","","","source2,source4","","Rural communities across six provinces in Cambodia: Svay Rieng, Kandal, Prey Veng, Kampong Thom, Siem Reap and Oddar Meanchey. With a focus on poorer and harder-to-reach groups including women, children, people living with disabilities and older people.","1,600","Other","villages","","","","source5",""
"View","Cameroon Cataract Bond","Implementation","CM","","USD","2,000,000","2000000","","","The Cameroon Cataract Bond is a pay-for-performance loan designed to provide funding to build a hospital to prevent blindness through the provision of cataract surgeries, with the ultimate goal of making the hospital self-sufficient after five years.  In order to help prevent avoidable blindness in Cameroon, the hospital has adopted the Aravind model of cross-subsidisation pricing, high service volume, and revenue diversification strategies to provide quality cataract treatment services to the poor at low or no cost in Cameroon. In order to operationalise the cross-subsidisation pricing model, the hospital has two target groups: low-income patients and middle-income patients.","Health","","","","","source2,source3","","In order to operationalise the cross-subsidisation pricing model, MICEI has two target groups: low-income patients and middle-income patients. The funds generated will enable MICEI to provide cataract surgery for free or at a subsidised price for patients that are unable to pay for transport to the hospital and for the treatment itself. At least 40% of surgeries provided to individuals belonging to the bottom two wealth quintiles of the population in Cameroon by the end of year 5.","18,000","","","","","","source3",""
"View","Cameroon Kangaroo Mother Care Development Impact Bond (KMC DIB)","Implementation","CM","2018-12","USD","800,000","800000","","","The KMC DIB’s objective was  to identify a path to scale for and expand quality KMC to five regions in Cameroon to reduce infant mortality levels. Kangaroo Mother Care is a proven and globally recommended health practice for babies born early or small, which involves holding the baby skin-to-skin on the mothers or other caregivers chest, ideally feeding them only breastmilk, minimising time in hospital and having close follow-up of the mother and baby once they return home. It aimed to achieve this in two ways: 1. Roll out KMC in 10 hospitals across five regions in Cameroon, with the ultimate outcome of significant and verifiable improvements in LBW infant health. Intermediate outcomes include  extended periods of skin-to-skin care for LBW and pre-term neonates, high rates of exclusive breastfeeding, and above-average weight gain by 40 weeks gestational age. 2. Integrate high-quality KMC into Cameroon’s public healthcare system to ensure the DIB investment’s long-term sustainability, including further expansion to hospitals nationwide.","Health","","","","","source2,source5,source9","","The project will be implemented across five regions in Cameroon targeting low birth weight (LBW) or preterm newborns. Those regions were chosen based on needs (i.e. newborn mortality rate level) and volume of infants admitted in hospitals.","2,200","","","","","","source7",""
"View","Cancer and Work Health Impact Bond","Implementation","NL","2017-11","EUR","640,000","721210.1194","","","The Cancer and Work Health Impact Bond will help return employees who are recovering or have recovered from cancer back to work in a faster and more successful way. The intervention hinges on exercise, both physically and mentally, at home and at work. The programme offers physical exercise and help participants define targets and learn to cope with limitations. Participants will be assisted by coaches, who will guide them through an intensive programme.","Health","","","","","source2","","140 cancer survivors.","138","","","","","","source2",""
"View","Care Leavers Social Impact Bond: Reboot West (Bristol)","Complete","GB","2018-08","","","","","","The project will offer support for care leavers into education, employment or training. The service will include some co-production with young people who will also participate in governance and steering arrangements to ensure services are meaningful and impact is maximised. This will include specific interest groups and responses where appropriate, for example linking with parenting programmes and our care leaver young parents group or asylum seeking group. The programme will deliver co-located staff focussed on working with our young people and the team around them. Adjustments will be made to tailor the programme to individual and specific need, aspirations and ability. It will utilise a psychologically informed approach to support young people to overcome adversity and support the achievement of EET outcomes. Services provided through this funding award will be in addition to existing statutory and other support services for care leavers. It will work in an integrated, holistic and psychologically informed way to help more care leavers to successfully gain qualifications, complete the training and education courses of their choosing and enter/sustain employment.","Child and family welfare","","","","","source2,source4","","Young people who have moved on from their foster or other care placement aged between 16 and 25 years (who are NEET or at risk of NEET) and to whom the local authority owes a range of duties under the Children Act 1989 (as amended by the Children (Leaving Care) Act 2000) and Children and Social Work Act 2017. The full cohort of care leavers must be identified in Year 1 (2018-19) – there will be no exclusions, with all care leavers who are NEET or at risk of NEET eligible for services. Furthermore, the approach is designed to reach and support those young people furthest from the labour market and to help deliver a supported pathway to employment.","200","Individual","","241","","","source2, source9",""
"View","Caritas Perspektive (Caritas Perspective)","Implementation","CH","","Swiss Francs","2,700,000","2805540.716","","","Based on the ""Supported Employment Approach"", the aim is to integrate refugees into the primary employement market as quickly as possible (first place, then train). After assessing a potential for a direct placement into the employment, an integration plan is drawn up with each participant, which sets out the goals and measures in the short and medium term; the future employer is closely involved in that process. Qualifying support measure take place during employement; likewise participants receive ongoing coaching. If a direct entry into employment is not considered as appropriate, particpants receive individual support measures to get employment ready. Each participant is allocated to a single coach. Employers can receive for a period up to 6 months a subvention for training in case the participant is not fully capable of fullfilling the work requirements.","Employment and training","","","","","source10,source4","","Recognised refugees or other migrants with a temporarily right to stay who are not in training or employment, show a medium to high likeliness for employment integration and fall under the jurisdiction of the canton of Bern.","120","","","","","","source11",""
"View","Chances","Implementation","GB","2020-06","GBP","1,245,000","1544674.6125","","","The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.","Health","","","","","source1","","Children and young people aged between 8-17 with specific issues - low school attendance, recent offenders, looked after children, NEETS, pre-NEETs, and young people with mental health problems.","6,720","Individual","","","","","source1",""
"View","Chicago Child-Parent Center PFS Initiative","Implementation","US","2014-10","USD","16,900,000","16900000","","","Chicago Public Schools (CPS) and the City of Chicago have launched a Pay-for-Success (PFS) contract that will allow the City to provide high quality pre-K services to more than 2,600 children in high-need communities through the successful Child Parent Center (CPC) education program.The intervention is based on the Child-Parent Center (CPC) preschool model. The program provides high quality half and full day preschool education to three- and four-year olds as well as comprehensive family services. It seeks to identify and rectify low-severity learning and behavioral challenges allowing students to stay on track with their peers. The model achieves its outcomes by working with students and parents to help foster better learning at home and helping families address the myriad of challenges they face. CPC is equipped with a Parent Resource Teacher and School Community Representative who engages parents both inside and outside of the CPC.","Education","","","","","source11,source1","","Four-year old Chicago Public School children eligible for free or reduced lunch","2,618","","","","","","source12",""
